n,accuracy,macro_precision,macro_recall,macro_f1,model,slug,scenario,input_size,main,fold
180,0.9666666666666667,0.9670003707823508,0.9666666666666667,0.9666574048346762,EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,fold_3
180,0.9277777777777778,0.9389799635701275,0.9277777777777777,0.9264437063927294,EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,fold_4
180,0.95,0.951981351981352,0.9500000000000001,0.9499130434782609,EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,fold_5
180,0.9777777777777777,0.9786625032526671,0.9777777777777779,0.9776208448889846,EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,fold_1
180,0.9833333333333333,0.9837828309536402,0.9833333333333334,0.9832336896420353,EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,fold_2
180,0.9888888888888889,0.9890710382513661,0.9888888888888889,0.9888406406125975,EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,fold_3
180,0.9833333333333333,0.9837828309536402,0.9833333333333334,0.9832336896420353,EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,fold_4
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,fold_3
36,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,fold_4
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,fold_2
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,fold_4
